id,nombre,zona,grupo_muscular,nivel,equipamiento,duracion_serie_min,series_sugeridas,reps_sugeridas,descanso_seg,contraindicaciones
E001,Sentadilla con barra,piernas,cuadriceps,intermedio,completo,2,4,8-10,90,rodilla
E002,Prensa de piernas,piernas,cuadriceps,principiante,completo,2,4,10-12,75,rodilla
E003,Peso muerto rumano,piernas,femoral,intermedio,completo,2,4,8-10,90,espalda_baja
E004,Zancadas con mancuernas,piernas,gluteos,principiante,basico,2,3,10-12,60,rodilla
E005,Curl femoral máquina,piernas,femoral,principiante,completo,2,3,12-15,60,ninguna
E006,Elevación de gemelos de pie,piernas,gemelos,principiante,completo,1,4,15-20,45,ninguna
E007,Sentadilla hack,piernas,cuadriceps,intermedio,completo,2,4,8-10,90,rodilla
E008,Leg press inclinado,piernas,cuadriceps,principiante,completo,2,4,10-12,75,rodilla
E009,Extensión de cuadriceps,piernas,cuadriceps,principiante,completo,2,3,12-15,60,rodilla
E010,Peso muerto pierna recta,piernas,femoral,intermedio,completo,2,4,8-10,90,espalda_baja
E011,Abductores máquina,piernas,abductores,principiante,completo,1,3,15-20,45,ninguna
E012,Aductores máquina,piernas,aductores,principiante,completo,1,3,15-20,45,ninguna
E013,Sentadilla búlgara,piernas,gluteos,avanzado,basico,2,4,8-10,90,rodilla
E014,Hip thrust con barra,piernas,gluteos,intermedio,completo,2,4,10-12,75,espalda_baja
E015,Step up con mancuernas,piernas,gluteos,principiante,basico,2,3,12-15,60,rodilla
E016,Jalones al pecho,espalda,dorsal,principiante,completo,2,3,10-12,60,ninguna
E017,Remo con barra,espalda,dorsal,intermedio,completo,2,4,8-10,90,espalda_baja
E018,Remo en polea baja,espalda,romboides,principiante,completo,2,3,10-12,60,ninguna
E019,Dominadas,espalda,dorsal,avanzado,basico,2,4,6-10,90,hombro
E020,Remo con mancuerna,espalda,dorsal,principiante,basico,2,3,10-12,60,espalda_baja
E021,Pull-over con mancuerna,espalda,dorsal,intermedio,basico,2,3,12-15,60,hombro
E022,Remo en máquina,espalda,dorsal,principiante,completo,2,3,12-15,60,ninguna
E023,Encogimientos de hombros,espalda,trapecio,principiante,basico,1,3,15-20,45,ninguna
E024,Hiperextensiones,espalda,lumbar,principiante,completo,2,3,15-20,45,espalda_baja
E025,Curl con barra,biceps,biceps,principiante,basico,2,3,10-12,60,ninguna
E026,Curl con mancuernas alterno,biceps,biceps,principiante,basico,2,3,10-12,60,ninguna
E027,Curl martillo,biceps,biceps,principiante,basico,2,3,12-15,60,ninguna
